Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Photographer,Editor,Publisher,Place of Publication,Date Published,Year Published,Original Date Published,Original Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Lexile Code,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,AR Level,AR Points,AR Quiz Number,Word Count,Number of Pages,Format,Audio Runtime,Dimensions,Weight,List Price,Language,Original Language,DDC,LCC,LCCN,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Current Page,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Condition,Recommended By,Date Added,User Supplied ID,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Up Next,Position,Uploaded Image URL,Activities
"""Rétrospective"" par Xavier Le Roy",,,,,Bojana Cvelić,"Cvelić, Bojana",,,,,,Les Presses du réel,,,,,,,,,,,,,,,,,,,357,,,,,,français,,,,,,9782840666967,0,0.000000,,Unread,,,,,,,,0,,,,2019/07/28 19:54:29.649755954,,,,,,,,Œuvre d’artiste,0,0,,http://images.amazon.com/images/P/2840666960.01Z.jpg,
100 exercises for a choreographer and other survivors,,,,,Efva Lilja,"Lilja, Efva",,,,,,Ellerströms,,,2012,,,,,,,,,,,,,,,,109,,,,,,anglais,,,,,,9789172473065,0,0.000000,,Unread,,,,,,,,0,,,,2019/07/28 16:58:49.806290030,,,,,,,ZMpHMwEACAAJ,Méthodes,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/D7039766-E8B2-447B-AB11-F093F230B890,
"1995-2015, vingt ans de danse au CDC Toulouse / Midi-Pyénées",,,,,Annie Bozzini et Dominique Crébassol,"Crébassol, Annie Bozzini et Dominique",,,,,,CDC Toulouse / Midi-Pyrénées,,,,,,,,,,,,,,,,,,,175,,,,,,français,,,,,,9791093498072,0,0.000000,,Unread,,,,,,,,0,,,,2019/07/28 16:58:49.815443992,,,,,,,,Catalogues,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/5FC73A75-0135-40E2-A02E-80DCE584ED09,
"20 Years, 50 Portraits",,P.A.R.T.S,,,"Theo van Rompay, Bart Grietens, Gregory Hall, Dan Frett, Claire Taring, Performing Arts Research and Training Studios (Brussels, Belgium)","Rompay, Theo van",,,,,,Performing Arts Research and Training Studios,,,2016,,,,Biography,,,,,,,,,,,,407,,,,,,,,,,,,9789090297484,0,0.000000,,Unread,,,,,,,,0,,,,2019/07/28 16:58:49.821699976,,,,,,,,Études,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/70C7BA8E-2639-4861-9AD5-661B067EC06A,
"2001, l'odyssée de l'espace",,,,,Arthur C. Clarke,"Clarke, Arthur C.",,,,,,Editions J'ai Lu,,,1992,,,,Fiction,,,,,,,,,,,,190,,,,,,français,,,,,,9782277123491,0,0.000000,,Unread,,,,,,,,0,,,,2019/07/28 16:44:46.895216941,,,,,,,,Roman,0,0,,http://images.amazon.com/images/P/2277123498.01Z.jpg,
28 séries d’enseignement niveau débutant,,Basic guidelines for teachers yoga,,,Dr. Geeta S. iyengar,"iyengar, Dr. Geeta S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,français,,,,,,,0,0.000000,,Unread,,,,,,,,0,,,,2019/09/07 11:04:16.513844966,,,,,,,,Méthodes,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/211DB1F9-BC98-4B1D-8C15-B3DAC4149FFC,
À l'écoute,,,,,Jean-Luc Nancy,"Nancy, Jean-Luc",,,,,,Galilée,,,2002,,,,Listening (Philosophy),"- Ecoute ! Qu'est-ce qui résonne ? - C'est un corps sonore. - Mais lequel ? Une corde, un cuivre, ou bien mon propre corps ? - Ecoute : c'est une peau tendue sur une chambre d'écho, et qu'un autre frappe ou pince, te faisant résonner, selon ton timbre et à son rythme.",,,,,,,,,,,84,,,,,,français,,,,,,9782718605975,0,0.000000,,Unread,,,,,,,,0,,,,2019/07/28 18:07:28.881050944,,,,,,,wDroAAAAIAAJ,,0,,,https://s3.amazonaws.com/kimicoapps-bookbuddy/82228F91-C477-495F-A60D-8974E3237743,
À la recherche du temps perdu,,,,,Marcel Proust,"Proust, Marcel",,,,,,Gallimard,,,1988,,,,Accessible book,,,,,,,,,,,,447,,,,,,français,,,,,,9782070380510,0,1.000000,,Read,,2019/07/28,,,,,,0,,,,2019/07/28 19:46:40.518808960,,Incontournable,,,,,laAJswEACAAJ,Roman,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/AD008B3D-A38D-4C98-AB64-8B30E7EE9639,"[{""status"":0,""activityYear"":2019,""param1"":""0"",""param2"":""2"",""param3"":"""",""contact"":"""",""comments"":"""",""deviceName"":""iPhone de Laura"",""type"":12,""addedDate"":""2019\/07\/28 19:46:40.520573973"",""activityDate"":""2019\/07\/28""}]"
Accords Intimes,,danse et musique chez Anne Teresa de Keersmaeker,,,Philippe Guisgand,"Guisgand, Philippe",,,,,,Presses universitaires du Septentrion,,,2017,,,,,,,,,,,,,,,,151,,,,,,français,,,,,,9782757417201,0,0.000000,,Unread,,,,,,,,0,,,,2019/07/28 20:18:15.566169023,,,,,,,,Études,0,0,,http://images.amazon.com/images/P/2757417207.01Z.jpg,
Acoustique des instruments de musique,,,,,"Antoine Chaigne, Jean Kergomard","Chaigne, Antoine",,,,,,Belin,,,2008,,,,,"Quel est le rôle du biseau d'une flûte ? Comment se constitue le "" timbre "" d'un instrument, qui nous permet de distinguer à coup sûr une trompette d'une clarinette ? A travers de nombreux exemples illustrés, cet ouvrage présente les bases nécessaires pour comprendre les phénomènes complexes à l'œuvre dans les instruments de musique. Il s'adresse aux chercheurs, aux étudiants - des exercices corrigés en ligne leur sont proposés - et aux ingénieurs, mais aussi aux musiciens, facteurs et mélomanes qui souhaitent acquérir les fondements de l'acoustique musicale. Détaillant les résultats considérables acquis ces quinze dernières années, les auteurs s'appuient sur l'analyse progressive des briques élémentaires participant à la production du son pour dégager des concepts applicables à l'ensemble des instruments. Ils montrent en particulier que des modèles physiques, même simples, peuvent être mis à profit pour des applications concrètes en facture instrumentale, en prise de son ou en synthèse sonore. [Source : d'après la 4e de couverture]",,,,,,,,,,,704,,,,,,français,,,,,,9782701139708,0,0.000000,,Unread,,,,,,,,0,,,,2020/04/14 08:57:16.266881942,,,,,,,qOZwPQAACAAJ,Études,0,0,,http://images.amazon.com/images/P/2701139708.01Z.jpg,
